ensembl_gene_id,gene_biotype
ENSMUSG00000004268,protein_coding
ENSMUSG00000004270,protein_coding
ENSMUSG00000004285,protein_coding
ENSMUSG00000004317,protein_coding
ENSMUSG00000004319,protein_coding
ENSMUSG00000004328,protein_coding
ENSMUSG00000004341,protein_coding
ENSMUSG00000004356,protein_coding
ENSMUSG00000004364,protein_coding
ENSMUSG00000004383,protein_coding
ENSMUSG00000004393,protein_coding
ENSMUSG00000004394,protein_coding
ENSMUSG00000004415,protein_coding
ENSMUSG00000004446,protein_coding
ENSMUSG00000004451,protein_coding
ENSMUSG00000004455,protein_coding
ENSMUSG00000004460,protein_coding
ENSMUSG00000004462,protein_coding
ENSMUSG00000004473,protein_coding
ENSMUSG00000004500,protein_coding
ENSMUSG00000004530,protein_coding
ENSMUSG00000004535,protein_coding
ENSMUSG00000004558,protein_coding
ENSMUSG00000004561,protein_coding
ENSMUSG00000004562,protein_coding
ENSMUSG00000004565,protein_coding
ENSMUSG00000004567,protein_coding
ENSMUSG00000004568,protein_coding
ENSMUSG00000004591,protein_coding
ENSMUSG00000004610,protein_coding
ENSMUSG00000004626,protein_coding
ENSMUSG00000004631,protein_coding
ENSMUSG00000004633,protein_coding
ENSMUSG00000004637,protein_coding
ENSMUSG00000004642,protein_coding
ENSMUSG00000004661,protein_coding
ENSMUSG00000004665,protein_coding
ENSMUSG00000004667,protein_coding
ENSMUSG00000004677,protein_coding
ENSMUSG00000004748,protein_coding
ENSMUSG00000004768,protein_coding
ENSMUSG00000004771,protein_coding
ENSMUSG00000004788,protein_coding
ENSMUSG00000004789,protein_coding
ENSMUSG00000004791,protein_coding
ENSMUSG00000004798,protein_coding
ENSMUSG00000004815,protein_coding
ENSMUSG00000004843,protein_coding
ENSMUSG00000004846,protein_coding
ENSMUSG00000004849,protein_coding
ENSMUSG00000004864,protein_coding
ENSMUSG00000004865,protein_coding
ENSMUSG00000004880,protein_coding
ENSMUSG00000004885,protein_coding
ENSMUSG00000004891,protein_coding
ENSMUSG00000004892,protein_coding
ENSMUSG00000004895,protein_coding
ENSMUSG00000004896,protein_coding
ENSMUSG00000004897,protein_coding
ENSMUSG00000004929,protein_coding
ENSMUSG00000004931,protein_coding
ENSMUSG00000004933,protein_coding
ENSMUSG00000004934,protein_coding
ENSMUSG00000004936,protein_coding
ENSMUSG00000004937,protein_coding
ENSMUSG00000004945,protein_coding
ENSMUSG00000004947,protein_coding
ENSMUSG00000004948,protein_coding
ENSMUSG00000004951,protein_coding
ENSMUSG00000004952,protein_coding
ENSMUSG00000004961,protein_coding
ENSMUSG00000004980,protein_coding
ENSMUSG00000004994,protein_coding
ENSMUSG00000004996,protein_coding
ENSMUSG00000005034,protein_coding
ENSMUSG00000005043,protein_coding
ENSMUSG00000005045,protein_coding
ENSMUSG00000005054,protein_coding
ENSMUSG00000005057,protein_coding
ENSMUSG00000005069,protein_coding
ENSMUSG00000005078,protein_coding
ENSMUSG00000005102,protein_coding
ENSMUSG00000005103,protein_coding
ENSMUSG00000005107,protein_coding
ENSMUSG00000005125,protein_coding
ENSMUSG00000005131,protein_coding
ENSMUSG00000005142,protein_coding
ENSMUSG00000005148,protein_coding
ENSMUSG00000005150,protein_coding
ENSMUSG00000005161,protein_coding
ENSMUSG00000005198,protein_coding
ENSMUSG00000005204,protein_coding
ENSMUSG00000005225,protein_coding
ENSMUSG00000005233,protein_coding
ENSMUSG00000005237,protein_coding
ENSMUSG00000005251,protein_coding
ENSMUSG00000005262,protein_coding
ENSMUSG00000005267,protein_coding
ENSMUSG00000005299,protein_coding
ENSMUSG00000005312,protein_coding
ENSMUSG00000005320,protein_coding
ENSMUSG00000005354,protein_coding
ENSMUSG00000005357,protein_coding
ENSMUSG00000005360,protein_coding
ENSMUSG00000005362,protein_coding
ENSMUSG00000005370,protein_coding
ENSMUSG00000005371,protein_coding
ENSMUSG00000005373,protein_coding
ENSMUSG00000005374,protein_coding
ENSMUSG00000005378,protein_coding
ENSMUSG00000005397,protein_coding
ENSMUSG00000005410,protein_coding
ENSMUSG00000005413,protein_coding
ENSMUSG00000005417,protein_coding
ENSMUSG00000005442,protein_coding
ENSMUSG00000005447,protein_coding
ENSMUSG00000005465,protein_coding
ENSMUSG00000005469,protein_coding
ENSMUSG00000005470,protein_coding
ENSMUSG00000005481,protein_coding
ENSMUSG00000005483,protein_coding
ENSMUSG00000005493,protein_coding
ENSMUSG00000005501,protein_coding
ENSMUSG00000005505,protein_coding
ENSMUSG00000005506,protein_coding
ENSMUSG00000005510,protein_coding
ENSMUSG00000005514,protein_coding
ENSMUSG00000005533,protein_coding
ENSMUSG00000005534,protein_coding
ENSMUSG00000005553,protein_coding
ENSMUSG00000005566,protein_coding
ENSMUSG00000005575,protein_coding
ENSMUSG00000005580,protein_coding
ENSMUSG00000005609,protein_coding
ENSMUSG00000005610,protein_coding
ENSMUSG00000005615,protein_coding
ENSMUSG00000005621,protein_coding
ENSMUSG00000005625,protein_coding
ENSMUSG00000005656,protein_coding
ENSMUSG00000005667,protein_coding
ENSMUSG00000005672,protein_coding
ENSMUSG00000005674,protein_coding
ENSMUSG00000005682,protein_coding
ENSMUSG00000005683,protein_coding
ENSMUSG00000005686,protein_coding
ENSMUSG00000005687,protein_coding
ENSMUSG00000005698,protein_coding
ENSMUSG00000005699,protein_coding
ENSMUSG00000005718,protein_coding
ENSMUSG00000005732,protein_coding
ENSMUSG00000005774,protein_coding
ENSMUSG00000005779,protein_coding
ENSMUSG00000005802,protein_coding
ENSMUSG00000005804,protein_coding
ENSMUSG00000005813,protein_coding
ENSMUSG00000005823,protein_coding
ENSMUSG00000005836,protein_coding
ENSMUSG00000005846,protein_coding
ENSMUSG00000005871,protein_coding
ENSMUSG00000005873,protein_coding
ENSMUSG00000005881,protein_coding
ENSMUSG00000005882,protein_coding
ENSMUSG00000005886,protein_coding
ENSMUSG00000005892,protein_coding
ENSMUSG00000005893,protein_coding
ENSMUSG00000005897,protein_coding
ENSMUSG00000005899,protein_coding
ENSMUSG00000005907,protein_coding
ENSMUSG00000005936,protein_coding
ENSMUSG00000005947,protein_coding
ENSMUSG00000005949,protein_coding
ENSMUSG00000005950,protein_coding
